ID,OBO ID,Label,ParentIRI,Definition,definition ref,Namespace,Class Type,Exact Synonym,DbXref
GAZ:00001251,GAZ:00001251,Barbados,GAZ:07000070,"An island country in the Lesser Antilles of the West Indies, in the Caribbean region of the Americas, and the most easterly of the Caribbean Islands. It is 34 kilometres (21 miles) in length and up to 23 km (14 mi) in width, covering an area of 432 km2 (167 sq mi).",url:https://en.wikipedia.org/wiki/Barbados,gaz,subclass,,wikidata:Q244
GAZ:00006886,GAZ:00006886,Belarus,GAZ:00000464,"A landlocked country in Eastern Europe, that borders Russia to the north and east, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the north. Its capital is Minsk. Belarus is divided into six voblasts, or provinces. Voblasts are further subdivided into raions (commonly translated as districts or regions). As of 2002, there are six voblasts, 118 raions, 102 towns and 108 urbanized settlements. Minsk is given a special status, due to the city serving as the national capital.",url:http://en.wikipedia.org/wiki/Belarus,gaz,subclass,,wikidata:Q184
GAZ:00002938,GAZ:00002938,Belgium,GAZ:00000464,"A country in northwest Europe. Belgium shares borders with France (620 km), Germany (167 km), Luxembourg (148 km) and the Netherlands (450 km). The Flemish Region (Flanders) and the Walloon Region (Wallonia) each comprise five provinces; the third region, Brussels-Capital Region, is not a province, nor does it contain any Together, these comprise 589 municipalities, which in general consist of several sub-municipalities (which were independent municipalities before the municipal merger operation mainly in 1977).",url:http://en.wikipedia.org/wiki/Belgium,gaz,subclass,,wikidata:Q31
GAZ:00002934,GAZ:00002934,Belize,GAZ:00000458,"A country in Central America. It is the only officially English speaking country in the region. Belize was a British colony for more than a century and was known as British Honduras until 1973. It became an independent nation within The Commonwealth in 1981. Belize is divided into 6 districts, which are further divided into 31 constituencies.",url:http://en.wikipedia.org/wiki/Belize,gaz,subclass,,wikidata:Q242
GAZ:00000904,GAZ:00000904,Benin,GAZ:00000457,"A country in Western Africa. It borders Togo to the west, Nigeria to the east and Burkina Faso and Niger to the north; its short coastline to the south leads to the Bight of Benin. Its capital is Porto Novo, but the seat of government is Cotonou. Benin is divided into 12 departments and subdivided into 77 communes.",url:http://en.wikipedia.org/wiki/Benin,gaz,subclass,,wikidata:Q962
GAZ:00003920,GAZ:00003920,Bhutan,GAZ:00000465,"A landlocked nation in South Asia. It is located amidst the eastern end of the Himalaya Mountains and is bordered to the south, east and west by India and to the north by Tibet. Bhutan is separated from Nepal by the Indian State of Sikkim. Bhutan is divided into four dzongdey (administrative zones). Each dzongdey is further divided into dzongkhag (districts). There are twenty dzongkhag in Bhutan. Large dzongkhags are further divided into subdistricts known as dungkhag. At the basic level, groups of villages form a constituency called gewog.",url:http://en.wikipedia.org/wiki/Bhutan,gaz,subclass,,wikidata:Q917
GAZ:00002511,GAZ:00002511,Bolivia,GAZ:00000459,"A landlocked country in central South America. It is bordered by Brazil on the north and east, Paraguay and Argentina on the south, and Chile and Peru on the west. Bolivia is divided into 9 departments (Spanish: departamentos). Each of the departments is subdivided into provinces (provincias), which are further subdivided into municipalities (municipios).",url:http://en.wikipedia.org/wiki/Bolivia,gaz,subclass,,wikidata:Q750
GAZ:00006887,GAZ:00006887,Bosnia and Herzegovina,GAZ:00000464,"A country on the Balkan peninsula of Southern Europe. Bordered by Croatia to the north, west and south, Serbia to the east, and Montenegro to the south, Bosnia and Herzegovina is mostly landlocked, except for 26 km of the Adriatic Sea coastline. Bosnia and Herzegovina is now divided into three political regions of which one, the Brcko District is part of the other two, the Federacija Bosne i Hercegovine and the Republika Srpska. All three have an equal constitutional status on the whole territory of Bosnia and Herzegovina.",url:http://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,gaz,subclass,,wikidata:Q225
GAZ:00001097,GAZ:00001097,Botswana,GAZ:00000457,"A landlocked nation in Southern Africa. It is bordered by South Africa to the south and southeast, Namibia to the west, Zambia to the north, and Zimbabwe to the northeast. Botswana is divided into nine districts, which are subdivided into a total twenty-eight subdistricts.",url:http://en.wikipedia.org/wiki/Botswana,gaz,subclass,,wikidata:Q963
GAZ:00002828,GAZ:00002828,Brazil,GAZ:00000459,"A country in South America. Bordered by the Atlantic Ocean and by Venezuela, Suriname, Guyana and the department of French Guiana to the north, Colombia to the northwest, Bolivia and Peru to the west, Argentina and Paraguay to the southwest, and Uruguay to the south. Federation of twenty-six states (estados) and one federal district (Distrito Federal). The states are subdivided into municipalities. For statistical purposes, the States are grouped into five main regions: North, Northeast, Central-West, Southeast and South.",url:http://en.wikipedia.org/wiki/Brazil,gaz,subclass,,wikidata:Q155
GAZ:00003901,GAZ:00003901,Brunei Darussalam,GAZ:00000465,"A country located on the north coast of the island of Borneo, in Southeast Asia. Apart from its coastline with the South China Sea it is completely surrounded by the State of Sarawak, Malaysia, and in fact it is separated into two parts by Limbang, which is part of Sarawak. Brunei is divided into four districts (daerah), the districts are subdivided into thirty-eight mukims, which are then divided into kampong (villages).",url:http://en.wikipedia.org/wiki/Brunei_Darussalam,gaz,subclass,Brunei,wikidata:Q921
GAZ:00383713,GAZ:00383713,Bulgaria,GAZ:00000464,"A country in Southeastern Europe, borders five other countries; Romania to the north (mostly along the Danube), Serbia and the Republic of Macedonia to the west, and Greece and Turkey to the south. The Black Sea defines the extent of the country to the east. Since 1999, it has consisted of twenty-eight provinces. The provinces subdivide into 264 municipalities.",url:http://en.wikipedia.org/wiki/Bulgaria,gaz,subclass,,wikidata:Q219
GAZ:00000905,GAZ:00000905,Burkina Faso,GAZ:00000457,"A landlocked nation in West Africa. It is surrounded by six countries: Mali to the north, Niger to the east, Benin to the south east, Togo and Ghana to the south, and Cote d'Ivoire to the south west. Burkina Faso is divided into thirteen regions, forty-five provinces, and 301 departments (communes).",url:http://en.wikipedia.org/wiki/Burkina_Faso,gaz,subclass,,wikidata:Q965
GAZ:00001090,GAZ:00001090,Burundi,GAZ:00000457,"A small country in the Great Lakes region of Africa. It is bordered by Rwanda on the north, Tanzania on the south and east, and the Democratic Republic of the Congo on the west. Although the country is landlocked, much of its western border is adjacent to Lake Tanganyika. Burundi is divided into 17 provinces, 117 communes, and 2,638 collines.",url:http://en.wikipedia.org/wiki/Burundi,gaz,subclass,,wikidata:Q967
GAZ:00006888,GAZ:00006888,Cambodia,GAZ:00000465,"A country in Southeast Asia. The country borders Thailand to its west and northwest, Laos to its northeast, and Vietnam to its east and southeast. In the south it faces the Gulf of Thailand.",url:http://en.wikipedia.org/wiki/Cambodia,gaz,subclass,,wikidata:Q424
GAZ:00001093,GAZ:00001093,Cameroon,GAZ:00000457,"A country of central and western Africa. It borders Nigeria to the west; Chad to the northeast; the Central African Republic to the east; and Equatorial Guinea, Gabon, and the Republic of the Congo to the south. Cameroon's coastline lies on the Bight of Bonny, part of the Gulf of Guinea and the Atlantic Ocean. The Republic of Cameroon is divided into ten provinces and 58 divisions or departments. The divisions are further sub-divided into sub-divisions (arrondissements) and districts.",url:http://en.wikipedia.org/wiki/Cameroon,gaz,subclass,,wikidata:Q1009
GAZ:00002560,GAZ:00002560,Canada,GAZ:00000458,"A country occupying most of northern North America, extending from the Atlantic Ocean in the east to the Pacific Ocean in the west and northward into the Arctic Ocean. Canada is a federation composed of ten provinces and three territories; in turn, these may be grouped into regions. Western Canada consists of British Columbia and the three Prairie provinces (Alberta, Saskatchewan, and Manitoba). Central Canada consists of Quebec and Ontario. Atlantic Canada consists of the three Maritime provinces (New Brunswick, Prince Edward Island, and Nova Scotia), along with Newfoundland and Labrador. Eastern Canada refers to Central Canada and Atlantic Canada together. Three territories (Yukon, Northwest Territories, and Nunavut) make up Northern Canada.",url:http://en.wikipedia.org/wiki/Canada,gaz,subclass,,wikidata:Q16
GAZ:00001227,GAZ:00001227,Cape Verde,GAZ:07000070,"A republic located on an archipelago in the Macaronesia ecoregion of the North Atlantic Ocean, off the western coast of Africa. Cape Verde is divided into 22 municipalities (concelhos), and subdivided into 32 parishes (freguesias).",url:http://en.wikipedia.org/wiki/Cape_verde,gaz,subclass,,wikidata:Q1011
GAZ:00001089,GAZ:00001089,Central African Republic,GAZ:00000457,"A landlocked country in Central Africa. It borders Chad in the north, Sudan in the east, the Republic of the Congo and the Democratic Republic of the Congo in the south, and Cameroon in the west. The Central African Republic is divided into 14 administrative prefectures (prefectures), along with 2 economic prefectures (prefectures economiques) and one autonomous commune. The prefectures are further divided into 71 sub-prefectures (sous-prefectures).",url:http://en.wikipedia.org/wiki/Central_African_Republic,gaz,subclass,,wikidata:Q929
GAZ:00000586,GAZ:00000586,Chad,GAZ:00000457,"A landlocked country in central Africa. It is bordered by Libya to the north, Sudan to the east, the Central African Republic to the south, Cameroon and Nigeria to the southwest, and Niger to the west. Chad is divided into 18 regions. The departments are divided into 200 sub-prefectures, which are in turn composed of 446 cantons. This is due to change.",url:http://en.wikipedia.org/wiki/Chad,gaz,subclass,,wikidata:Q657
GAZ:00002825,GAZ:00002825,Chile,GAZ:00000459,"A country in South America occupying a long and narrow coastal strip wedged between the Andes mountains and the Pacific Ocean. The Pacific forms the country's entire western border, with Peru to the north, Bolivia to the northeast, Argentina to the east, and the Drake Passage at the country's southernmost tip. Chile claims 1,250,000 km2 of territory in Antarctica. Chile is divided into 15 regions. Every region is further divided into provinces. Finally each province is divided into communes. Each region is designated by a name and a Roman numeral, assigned from north to south. The only exception is the region housing the nation's capital, which is designated RM, that stands for Region Metropolitana (Metropolitan Region). Two new regions were created in 2006: Arica-Parinacota in the north, and Los Rios in the south. Both became operative in 2007-10.",url:http://en.wikipedia.org/wiki/Chile,gaz,subclass,,wikidata:Q298
GAZ:00002845,GAZ:00002845,China,GAZ:00000465,"A large country in Northeast Asia. China borders 14 nations (counted clockwise from south): Vietnam, Laos, Burma, India, Bhutan, Nepal, Pakistan, Afghanistan, Tajikistan, Kyrgyzstan, Kazakhstan, Russia, Mongolia and North Korea. Additionally the border between PRC and ROC is located in territorial waters. The People's Republic of China has administrative control over twenty-two provinces and considers Taiwan to be its twenty-third province. There are also five autonomous regions, each with a designated minority group; four municipalities; and two Special Administrative Regions that enjoy considerable autonomy. The People's Republic of China administers 33 province-level regions, 333 prefecture-level regions, 2,862 county-level regions, 41,636 township-level regions, and several village-level regions.",url:http://en.wikipedia.org/wiki/People%27s_Republic_of_China,gaz,subclass,,wikidata:Q148
GAZ:00002929,GAZ:00002929,Colombia,GAZ:00000459,"A country located in the northwestern region of South America. Colombia is bordered to the east by Venezuela and Brazil; to the south by Ecuador and Peru; to the North by the Atlantic Ocean, through the Caribbean Sea; to the north-west by Panama; and to the west by the Pacific Ocean. Besides the countries in South America, the Republic of Colombia is recognized to share maritime borders with the Caribbean countries of Jamaica, Haiti, the Dominican Republic and the Central American countries of Honduras, Nicaragua, and Costa Rica. Colombia is divided into 32 departments and one capital district which is treated as a department. There are in total 10 districts assigned to cities in Colombia including Bogota, Barranquilla, Cartagena, Santa Marta, Tunja, Cucuta, Popayan, Buenaventura, Tumaco and Turbo. Colombia is also subdivided into some municipalities which form departments, each with a municipal seat capital city assigned. Colombia is also subdivided into corregimientos which form municipalities.",url:http://en.wikipedia.org/wiki/Colombia,gaz,subclass,,wikidata:Q739
GAZ:00005820,GAZ:00005820,Comoros,GAZ:07000070,"An island nation in the Indian Ocean, located off the eastern coast of Africa on the northern end of the Mozambique Channel between northern Madagascar and northeastern Mozambique.",url:http://en.wikipedia.org/wiki/Comoros,gaz,subclass,,wikidata:Q970
GAZ:00002901,GAZ:00002901,Costa Rica,GAZ:00000458,"A republic in Central America, bordered by Nicaragua to the north, Panama to the east-southeast, the Pacific Ocean to the west and south, and the Caribbean Sea to the east. Costa Rica is composed of seven provinces, which in turn are divided into 81 cantons.",url:http://en.wikipedia.org/wiki/Costa_rica,gaz,subclass,,wikidata:Q800
GAZ:00000906,GAZ:00000906,Cote d'Ivoire,GAZ:00000457,"A country in West Africa. It borders Liberia and Guinea to the west, Mali and Burkina Faso to the north, Ghana to the east, and the Gulf of Guinea to the south. Cote d'Ivoire is divided into nineteen regions (regions). The regions are further divided into 58 departments.",url:https://en.wikipedia.org/wiki/Ivory_Coast,gaz,subclass,Ivory Coast,wikidata:Q1008
GAZ:00002719,GAZ:00002719,Croatia,GAZ:00000464,"A country at the crossroads of the Mediterranean, Central Europe, and the Balkans. Its capital is Zagreb. Croatia borders with Slovenia and Hungary to the north, Serbia to the northeast, Bosnia and Herzegovina to the east, Montenegro to the far southeast, and the Adriatic Sea to the south. Croatia is divided into 21 counties (zupanija) and the capital Zagreb's city district.",url:http://en.wikipedia.org/wiki/Croatia,gaz,subclass,,wikidata:Q224
GAZ:00003762,GAZ:00003762,Cuba,GAZ:07000070,"A country that consists of the island of Cuba (the largest and second-most populous island of the Greater Antilles), Isla de la Juventud and several adjacent small islands. Fourteen provinces and one special municipality (the Isla de la Juventud) now compose Cuba.",url:http://en.wikipedia.org/wiki/Cuba,gaz,subclass,,wikidata:Q241
GAZ:00004007,GAZ:00004007,Cyprus,GAZ:07000070,"An internationally recognized state, has de jure sovereignty over 97% of the island of Cyprus and all surrounding waters.",url:http://en.wikipedia.org/wiki/Cyprus,gaz,subclass,Republic of Cyprus,wikidata:Q229
GAZ:00002954,GAZ:00002954,Czech Republic,GAZ:00000464,"A landlocked country in Central Europe. It has borders with Poland to the north, Germany to the northwest and southwest, Austria to the south, and Slovakia to the east. The capital and largest city is Prague. The country is composed of the historic regions of Bohemia and Moravia, as well as parts of Silesia. Since 2000, the Czech Republic is divided into thirteen regions (kraje, singular kraj) and the capital city of Prague. The older seventy-six districts (okresy, singular okres) including three 'statutory cities' (without Prague, which had special status) were disbanded in 1999 in an administrative reform; they remain as territorial division and seats of various branches of state administration. Since 2003-01-01, the regions have been divided into around 203 Municipalities with Extended Competence (unofficially named ""Little Districts"" (Czech: 'male okresy') which took over most of the administration of the former District Authorities. Some of these are further divided into Municipalities with Commissioned Local Authority. However, the old districts still exist as territorial units and remain as seats of some of the offices.",url:http://en.wikipedia.org/wiki/Czech_republic,gaz,subclass,Czechia,wikidata:Q213
GAZ:00001086,GAZ:00001086,Democratic Republic of the Congo,GAZ:00000457,"A country in Central Africa. It is one of the smallest countries in continental Africa, and comprises two regions: Rio Muni, continental region including several offshore islands; and Insular Region containing Annobon island in the South Atlantic Ocean, and Bioko island (formerly Fernando Po) that contains the capital, Malabo. Equatorial Guinea is divided into seven provinces which are divided into districts.",url:http://en.wikipedia.org/wiki/Equatorial_Guinea,gaz,subclass,,wikidata:Q974
GAZ:00002635,GAZ:00002635,Denmark,GAZ:00000464,"A nation situated in Scandinavia in northern Europe (Metropolitan Denmark) plus its two autonomous provinces, Greenland and The Faroe Islands. Denmark is divided into five regions and a total of 98 municipalities, plus two autonomous provinces.",url:http://en.wikipedia.org/wiki/Denmark,gaz,subclass,Kingdom of Denmark,wikidata:Q35
GAZ:00000582,GAZ:00000582,Djibouti,GAZ:00000457,"A country in eastern Africa. Djibouti is bordered by Eritrea in the north, Ethiopia in the west and south, and Somalia in the southeast. The remainder of the border is formed by the Red Sea and the Gulf of Aden. On the other side of the Red Sea, on the Arabian Peninsula, 20 km from the coast of Djibouti, is Yemen. The capital of Djibouti is the city of Djibouti. Djibouti is divided into 5 regions and one city. It is further subdivided into 11 districts.",url:http://en.wikipedia.org/wiki/Djibouti,gaz,subclass,,wikidata:Q977
GAZ:00006890,GAZ:00006890,Dominica,GAZ:07000070,An island nation in the Caribbean Sea. Dominica is divided into ten parishes.,url:http://en.wikipedia.org/wiki/Dominica,gaz,subclass,,wikidata:Q784
GAZ:00003952,GAZ:00003952,Dominican Republic,GAZ:07000070,"A country in the West Indies that occupies the E two-thirds of the Hispaniola island. The Dominican Republic's shores are washed by the Atlantic Ocean to the north and the Caribbean Sea to the south. The Mona Passage, a channel about 130 km wide, separates the country (and the Hispaniola) from Puerto Rico. The Dominican Republic is divided into 31 provinces. Additionally, the national capital, Santo Domingo, is contained within its own Distrito Nacional (National District). The provinces are divided into municipalities (municipios; singular municipio).",url:https://en.wikipedia.org/wiki/Dominican_Republic,gaz,subclass,,wikidata:Q786
GAZ:00002912,GAZ:00002912,Ecuador,GAZ:00000459,"A country in South America, bordered by Colombia on the north, by Peru on the east and south, and by the Pacific Ocean to the west. The country also includes the Galapagos Islands (Archipelago de Colon) in the Pacific, about 965 km west of the mainland. Ecuador is divided into 24 provinces, divided into 199 cantons and subdivided into parishes (or parroquias).",url:http://en.wikipedia.org/wiki/Ecuador,gaz,subclass,,wikidata:Q736
GAZ:00003934,GAZ:00003934,Egypt,GAZ:00000457,"A country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea. Egypt is divided into 26 governorates (in Arabic, called muhafazat, singular muhafazah). The governorates are further divided into regions (markazes).",url:http://en.wikipedia.org/wiki/Egypt,gaz,subclass,,wikidata:Q79
GAZ:00265354,GAZ:00265354,El Salvador,GAZ:00000458,"A country in Central America, bordering the Pacific Ocean between Guatemala and Honduras. El Salvador is divided into 14 departments (departamentos), which, in turn, are subdivided into 267 municipalities (municipios).",url:http://en.wikipedia.org/wiki/El_Salvador,gaz,subclass,,wikidata:Q792
GAZ:00002641,GAZ:00002641,England,GAZ:00002637,The largest and most populous constituent country of the United Kingdom of Great Britain and Northern Ireland. The subdivisions of England consists of as many as four levels of subnational division and at some levels there are a variety of types of administrative entity. They have been created for the purposes of local government in England.,url:http://en.wikipedia.org/wiki/England,,,,
GAZ:00001091,GAZ:00001091,Equatorial Guinea,GAZ:00000457,"A country in Central Africa. It is one of the smallest countries in continental Africa, and comprises two regions: Rio Muni, continental region including several offshore islands; and Insular Region containing Annobon island in the South Atlantic Ocean, and Bioko island (formerly Fernando Po) that contains the capital, Malabo. Equatorial Guinea is divided into seven provinces which are divided into districts.",url:http://en.wikipedia.org/wiki/Equatorial_Guinea,gaz,subclass,,wikidata:Q983
GAZ:00000581,GAZ:00000581,Eritrea,GAZ:00000457,"A country situated in northern East Africa. It is bordered by Sudan in the west, Ethiopia in the south, and Djibouti in the southeast. The east and northeast of the country have an extensive coastline on the Red Sea, directly across from Saudi Arabia and Yemen. The Dahlak Archipelago and several of the Hanish Islands are part of Eritrea. Eritrea is divided into six regions (zobas) and subdivided into districts (""sub-zobas"").",url:http://en.wikipedia.org/wiki/Eritrea,gaz,subclass,,wikidata:Q986
GAZ:00002959,GAZ:00002959,Estonia,GAZ:00000464,"A country in Northern Europe. Estonia has land borders to the south with Latvia and to the east with Russia. It is separated from Finland in the north by the Gulf of Finland and from Sweden in the west by the Baltic Sea. Estonia is divided into 15 counties. (maakonnad; sing. - maakond). Estonian counties are divided into rural (vallad, singular vald) and urban (linnad, singular linn; alevid, singular alev; alevikud, singular alevik) municipalities. The municipalities comprise populated places (asula or asustusuksus) - various settlements and territorial units that have no administrative function. A group of populated places form a rural municipality with local administration. Most towns constitute separate urban municipalities, while some have joined with surrounding rural municipalities.",url:http://en.wikipedia.org/wiki/Estonia,gaz,subclass,,wikidata:Q191
